Loyalty#,cluster_behavior_agglomerative_ward,cluster_value_agglomerative_ward,agglomerative_ward_behavior_level,agglomerative_ward_value_level,agglomerative_ward_final_segment
648455,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
648533,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
648575,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
648586,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
648596,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
648648,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
648653,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
648924,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
649052,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
649054,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
649089,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
649104,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
649194,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
649321,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
649404,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
649422,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
649442,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
649487,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
649656,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
649680,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
649770,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
649802,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
649855,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
649918,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
649961,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
649972,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
649994,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
650290,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
650358,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
650366,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
650377,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
650420,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
650445,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
650466,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
650486,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
650529,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
650553,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
650621,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
650657,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
650704,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
650721,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
650801,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
650870,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
650957,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
651006,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
651020,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
651054,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
651097,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
651210,3,1,Low,Low,"Dormant / Low Value (Low value, Low engagement)"
651250,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
651277,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
651281,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
651377,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
651469,3,1,Low,Low,"Dormant / Low Value (Low value, Low engagement)"
651605,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
651622,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
651631,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
651645,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
651694,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
651740,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
651835,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
651959,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
652034,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
652047,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
652194,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
652212,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
652291,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
652300,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
652357,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
652370,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
652374,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
652394,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
652431,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
652498,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
652499,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
652501,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
652518,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
652614,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
652627,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
652636,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
652642,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
652741,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
652756,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
652781,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
652790,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
652809,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
652816,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
652852,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
652862,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
653015,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
653070,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
653081,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
653191,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
653259,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
653304,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
653324,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
653337,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
653340,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
653354,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
653400,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
653441,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
653539,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
653542,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
653572,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
653636,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
653637,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
653698,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
653851,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
653890,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
653973,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
654073,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
654086,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
654122,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
654187,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
654225,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
654249,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
654288,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
654389,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
654433,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
654540,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
654578,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
654748,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
654751,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
654817,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
654890,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
654919,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
654941,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
654983,3,1,Low,Low,"Dormant / Low Value (Low value, Low engagement)"
655016,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
655039,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
655044,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
655082,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
655085,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
655263,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
655325,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
655453,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
655473,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
655480,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
655614,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
655715,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
655721,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
655743,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
655892,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
655957,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
655995,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
656027,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
656036,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
656288,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
656360,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
656415,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
656454,0,0,High,High,"Champions (High value, High engagement)"
656487,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
656572,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
656639,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
656650,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
656858,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
656942,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
656958,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
656993,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
657116,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
657118,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
657339,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
657492,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
657668,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
657730,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
657748,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
657777,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
657842,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
657865,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
657946,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
657980,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
658076,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
658175,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
658257,3,1,Low,Low,"Dormant / Low Value (Low value, Low engagement)"
658310,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
658330,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
658407,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
658546,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
658726,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
658861,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
658996,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
659011,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
659112,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
659147,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
659205,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
659251,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
659400,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
659419,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
659454,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
659481,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
659536,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
659607,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
659637,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
659731,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
659767,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
659781,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
659792,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
659882,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
659967,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
660030,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
660047,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
660098,2,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
660119,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
660178,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
660197,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
660294,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
660349,3,1,Low,Low,"Dormant / Low Value (Low value, Low engagement)"
660376,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
660395,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
660436,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
660457,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
660554,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
660684,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
660768,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
660922,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
660958,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
661035,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
661050,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
661054,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
661069,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
661088,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
661118,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
661150,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
661193,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
661274,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
661321,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
661411,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
661442,3,1,Low,Low,"Dormant / Low Value (Low value, Low engagement)"
661451,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
661469,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
661487,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
661502,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
661546,3,1,Low,Low,"Dormant / Low Value (Low value, Low engagement)"
661587,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
661708,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
661744,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
662022,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
662045,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
662164,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
662166,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
662209,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
662268,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
662272,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
662380,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
662392,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
662406,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
662489,0,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
662521,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
662594,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
662665,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
662723,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
662750,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
662848,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
662880,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
662934,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
662936,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
662973,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
663062,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
663067,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
663072,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
663098,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
663133,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
663150,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
663213,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
663270,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
663343,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
663382,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
663402,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
663416,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
663422,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
663513,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
663514,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
663521,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
663573,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
663641,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
663659,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
663719,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
663746,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
663757,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
663897,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
663918,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
663975,3,1,Low,Low,"Dormant / Low Value (Low value, Low engagement)"
664008,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
664034,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
664052,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
664054,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
664062,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
664084,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
664112,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
664183,2,1,Low,Low,"Dormant / Low Value (Low value, Low engagement)"
664277,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
664379,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
664493,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
664666,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
664684,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
664705,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
664737,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
664759,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
664771,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
664799,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
664856,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
665024,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
665031,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
665100,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
665373,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
665374,3,1,Low,Low,"Dormant / Low Value (Low value, Low engagement)"
665403,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
665454,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
665467,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
665533,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
665548,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
665645,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
665646,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
665679,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
665701,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
665763,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
665773,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
665890,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
666189,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
666222,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
666301,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
666337,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
666381,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
666417,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
666473,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
666504,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
666556,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
666572,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
666597,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
666608,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
666667,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
666680,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
666702,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
666761,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
666877,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
666878,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
666933,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
666952,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
667041,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
667117,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
667157,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
667262,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
667275,0,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
667293,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
667314,0,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
667341,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
667356,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
667398,0,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
667517,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
667615,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
667634,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
667678,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
667687,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
667692,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
667718,0,0,High,High,"Champions (High value, High engagement)"
667767,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
667781,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
667798,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
667800,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
667860,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
667901,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
667974,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
668000,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
668020,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
668136,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
668213,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
668235,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
668253,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
668325,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
668510,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
668576,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
668599,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
668624,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
668692,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
668843,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
668865,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
668959,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
668968,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
668970,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
669028,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
669065,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
669066,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
669222,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
669368,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
669373,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
669493,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
669501,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
669810,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
669812,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
669890,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
669894,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
669978,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
670000,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
670002,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
670040,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
670131,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
670210,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
670215,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
670230,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
670289,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
670294,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
670371,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
670430,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
670606,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
670666,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
670686,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
670751,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
670817,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
670836,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
670939,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
670981,3,0,Low,High,"At-Risk VIPs (High value, Low engagement)"
670985,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
671077,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
671115,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
671119,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
671173,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
671309,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
671359,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
671368,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
671383,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
671528,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
671534,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
671628,0,1,High,Low,"Deal Seekers (Low value, High engagement)"
671639,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
671764,0,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
671803,1,2,High,Medium,"Potential Loyalists (Medium value, High engagement)"
671849,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
671906,3,1,Low,Low,"Dormant / Low Value (Low value, Low engagement)"
671911,1,1,High,Low,"Deal Seekers (Low value, High engagement)"
